,GAME_ID,Team_Home,Team_Away,H_Team_Elo_Before,A_Team_Elo_Before,H_Team_Elo_After,A_Team_Elo_After
0,21500493,CHI,NYK,1500,1500,1516.2883434168248,1483.7116565831752
1,21500494,LAL,PHI,1500,1500,1507.8257309068115,1492.1742690931885
2,21500492,TOR,CHA,1500,1500,1508.3432372858385,1491.6567627141615
3,21500491,MIA,DAL,1500,1500,1514.971693400778,1485.028306599222
4,21500490,WAS,ORL,1500,1500,1509.3551966442667,1490.6448033557333
5,21600511,MIN,POR,1500,1500,1490.7514442031413,1509.2485557968587
6,21600510,IND,ORL,1500,1494.2336025168,1509.6116666900039,1484.621935826796
7,21600509,MIA,DET,1512.4787700505835,1500,1500.3824030285302,1512.0963670220533
8,21600508,ATL,SAS,1500,1500,1503.88468596865,1496.11531403135
9,21600512,LAL,TOR,1507.1192981801087,1507.5074279643788,1495.4914390037047,1519.1352871407828
10,21700546,TOR,MIL,1515.6014653555872,1500,1520.3562211928895,1495.2452441626976
11,21700545,BKN,ORL,1500,1489.716451870097,1504.3011660285533,1485.4152858415437
12,21700548,MIN,LAL,1494.313583152356,1497.8685792527785,1506.743985693995,1485.4381767111395
13,21700547,CHI,POR,1513.4662575626185,1508.186416847644,1505.7775282688287,1515.8751461414338
14,21800552,SAC,POR,1500,1513.1563596060753,1491.9261199767293,1521.230239629346
15,21800549,TOR,UTA,1516.5171658946672,1500,1522.307589000796,1494.2095768938711
16,21800553,LAC,PHI,1500,1495.3807018198913,1490.6181779010915,1504.7625239187998
17,21800550,MIL,DET,1497.6839331220233,1510.32227526654,1513.0014778094398,1495.0047305791234
18,21800551,DEN,NYK,1500,1489.0337424373815,1506.4533377726764,1482.5804046647052
19,21900504,WAS,ORL,1508.2663974832,1490.3114643811577,1486.8560973624237,1511.721764501934
20,21900506,MIL,MIN,1511.0011083570798,1506.3079892704964,1514.8089072969042,1502.500190330672
21,21900507,LAL,PHX,1490.3286325333547,1500,1499.0183268995308,1491.3103056338239
22,21900505,NYK,POR,1488.1853034985288,1517.1726797220094,1505.063658719951,1500.2943245005872
23,22000074,MIN,WAS,1503.125142748004,1491.3920730218179,1482.111616417014,1512.405599352808
24,22000075,SAS,LAL,1498.3364855235125,1500.5137451746482,1489.150582758682,1509.6996479394786
25,22000070,DET,BOS,1497.5035479343426,1500,1502.046002882165,1495.4575450521775
26,22000076,DEN,PHX,1506.0900033295072,1494.7327292253678,1499.1660136971268,1501.6567188577483
27,22000072,BKN,ATL,1504.4758745214149,1504.1635144764875,1486.2420559101638,1522.3973330877386
28,22000078,GSW,POR,1500,1501.4707433754404,1477.1748384434154,1524.295904932025
29,22000069,CHA,MEM,1494.9925720356212,1500,1479.1405054332365,1515.8520666023846
30,22000073,MIL,CHI,1512.3566804726781,1505.5831462016215,1529.4347284184812,1488.5050982558184
31,22000077,UTA,LAC,1496.9071826704035,1494.2136334258187,1503.0532824583793,1488.0675336378429
32,22000071,DAL,MIA,1490.0212299494165,1501.5368022713976,1498.7779183721443,1492.7801138486698
33,22100542,BKN,LAC,1490.9315419326228,1492.3006502283822,1483.399655238544,1499.832536922461
34,22100540,DET,SAS,1502.7845021616238,1493.1129370690114,1505.902387046761,1489.9950521838741
35,22100544,UTA,GSW,1503.5399618437846,1484.1311288325614,1492.8657753922523,1494.8053152840937
36,22100539,MIL,NOP,1523.3260463138608,1500,1536.4578213418977,1486.8682249719632
37,22100543,HOU,DEN,1500,1500.624510272845,1485.3738275200694,1515.2506827527757
38,22100541,WAS,CHI,1510.554199514606,1492.6288236918638,1505.4484036593487,1497.734619547121
39,21500497,CHA,OKC,1485.6053790749274,1500,1467.541165168309,1518.0642139066185
40,21500503,UTA,MEM,1495.8993315441892,1513.1390499517884,1501.9798415850798,1507.0585399108977
41,21500498,IND,DET,1508.458750017503,1505.6767902850709,1517.7039209307632,1496.4316193718107
42,21500502,SAS,HOU,1493.7462891379055,1490.280370640052,1505.8119305250061,1478.2147292529514
43,21500496,SAC,PHX,1495.1945899825469,1502.4925391433112,1510.174868932106,1487.5122601937521
44,21500504,GSW,DEN,1497.3539864630702,1512.6880120645817,1502.146654966334,1507.895343561318
45,21500495,BOS,BKN,1497.8431587891332,1488.799741428908,1490.9676998660968,1495.6752003519443
46,21500501,DAL,NOP,1500.3334387791083,1491.4011687289724,1489.9907481604694,1501.7438593476113
47,21500505,LAC,PHI,1501.1244026918457,1504.8218929390998,1519.41187934858,1486.5344162823656
48,21500500,MIN,MIL,1487.8337123127603,1528.5933660064234,1476.9688204011381,1539.4582579180455
49,21500499,CLE,ORL,1500,1510.0413233764507,1516.078525440463,1493.9627979359877
50,21600513,MIL,OKC,1530.843693438534,1514.798160429964,1535.5892580425825,1510.0525958259154
51,21600518,HOU,WAS,1484.9110469397135,1505.3363027445116,1493.9955112056662,1496.251838478559
52,21600519,LAC,PHX,1515.808909511435,1491.8841951453142,1523.7906903803537,1483.9024142763956
53,21600516,NYK,ORL,1505.0477440399632,1496.7220984519909,1490.7685829211257,1511.0012595708283
54,21600514,CLE,NOP,1513.3088940803473,1502.5578945107086,1520.2800138116404,1495.5867747794155
55,21600520,GSW,DEN,1502.8599912247505,1507.1715076709884,1510.2937469208234,1499.7377519749155
56,21600517,CHI,CHA,1499.5509646603407,1476.9058738762317,1505.6836192237597,1470.7732193128127
57,21600515,BKN,UTA,1498.0064002639583,1502.7348811888098,1484.2937160709773,1516.4475653817908
58,21700549,CLE,POR,1516.4600103587304,1519.4719286990187,1528.387219441861,1507.5447196158882
