player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2023,RS,TOR,500,245,-1.978846354794905,.0380605547050824,-1.940785800089822,1.236886429926504,-4.889055898765989,-3.652169468839484,-1.438941652554163,-1.009521849024991,-2.448463501579154,.0372403520405485,.0372403520405485,0,-1.191394771250244,-1.272329429064388,-2.463724200314632,-1.21168615643412
Steven Adams,adamsst01,2023,RS,MEM,1105,535,-2.526189810560982,2.505908001430945,-.020281809130037,4.587629278564757,1.052319482037463,5.63994876060222,-1.195074432794279,2.34858275755865,1.15350832476437,1.062401553781665,1.062401553781665,0,-1.887276221635487,2.508038571410359,.6207623497748729,-.2932556060528664
Bam Adebayo,adebaba01,2023,RS,MIA,1419,696,-2.390193248848687,2.746172547414951,.3559792985662642,4.027254863726107,2.40492029333437,6.432175157060477,-1.147320048372595,2.825107307754982,1.677787259382387,1.565815887190986,1.565815887190986,0,-.7064390979013675,3.141906691794274,2.435467593892906,-.4174739700432569
Ochai Agbaji,agbajoc01,2023,RS,UTA,148,68,-6.839536894698596,3.743944086068649,-3.095592808629946,-11.96471288051402,9.469630164769114,-2.49508271574491,-8.378472380408724,5.197412970248099,-3.181059410160625,-.0149283549790581,-.0149283549790581,0,-8.869769051406779,.7729698795093141,-8.096799171897466,-.1802773020704451
Santi Aldama,aldamsa01,2023,RS,MEM,1079,508,-1.337780973130072,.9016893586474141,-.4360916144826584,-1.601847994207835,-.566427370583102,-2.168275364790937,-1.473262852589222,.6518259279228612,-.8214369246663612,.5017145298951045,.5017145298951045,0,-1.943115428735217,2.299925944227565,.3568105154923478,.377788529991443
Nickeil Alexander-Walker,alexani01,2023,RS,UTA,334,155,-1.955469090244325,5.704989812546261,3.749520722301936,-7.328870139928396,6.557611082450153,-.7712590574782432,-3.248382549694703,6.254067789605865,3.005685239911163,.4602824200215294,.4602824200215294,0,-.9647303900192082,4.269711164487489,3.30498077446828,1.137415820277957
Grayson Allen,allengr01,2023,RS,MIL,1040,487,1.11401841244349,-.7396549263203809,.3743634861231095,1.174862527669196,5.992018377611983,7.166880905281179,1.212745588494418,.5496623783004884,1.762407966794906,1.129081373412383,1.129081373412383,0,.9883317144387348,.6275639763823655,1.6158956908211,.7124368648517728
Jarrett Allen,allenja01,2023,RS,CLE,1110,544,-2.403708918729567,2.287398522421787,-.1163103963077798,-.602070134616089,6.859184875187642,6.257114740571553,-2.219544425950031,3.302696132726007,1.083151706775976,1.065287825509873,1.065287825509873,0,-1.299870726436219,3.221666806426472,1.921796079990254,.1332483391236497
Jose Alvarado,alvarjo01,2023,RS,NOP,926,437,.9867660804499949,3.33188388128144,4.318649961731435,3.227269732521617,3.534409750095882,6.761679482617499,1.474483366056187,3.516174679089617,4.990658045145804,1.730241719835204,1.730241719835204,0,1.332722969079296,2.771372910269541,4.104095879348838,.2582176499896372
Kyle Anderson,anderky01,2023,RS,MIN,795,367,-.9920211375038906,.9723005035727257,-.019720633931165,6.552855106350171,-3.146790225210879,3.406064881139291,.5219913590157239,.1835580965993343,.7055494556150581,.6481690452495166,.6481690452495166,0,.4248890152915458,-.1314844606220222,.2934045546695236,.178291336585264
