YM,TEAM,GAME_ID,WIN,PLAYER_WIN%,TEAM_WIN%,w_TS%_1,w_PIE_1,w_GAME_SCORE_1,w_+/-_1,w_PER_1,w_PPP_1,raptor_offense,raptor_defense,predator_offense,predator_defense
2015/11,ATL,21500039,1,0.8099999999999999,0.5882352941176471,4.6758347311778286,9.802316006727459,8.719581926992428,1.0167747325054441,13.874790070436442,0.8933097653995203,-0.38275494169999996,0.8455898685000001,-0.2040746072,0.8703438601
2015/11,ATL,21500055,1,0.8857142857142858,0.5882352941176471,4.647828209032032,6.794209667398018,6.470584226460309,-0.7100607675748056,9.757215508391619,0.6021912886826146,-0.775309998,0.3233697014285714,-0.42787567542857147,0.1119580994285715
2015/11,ATL,21500062,1,0.8,0.5882352941176471,3.817464564690181,7.731231450097789,7.2280080816648224,0.21279275374902942,11.303081890959973,0.7383832193933731,-0.9628528129999999,0.674803317,-0.7235114122,0.5746948573000001
2015/11,ATL,21500081,1,0.8099999999999999,0.5882352941176471,4.560178924995706,8.431909036921992,8.089227469419924,0.08819136933561492,12.361634025562351,0.8557643014273338,-0.6779571006999999,0.6618320001,-0.4458260815000001,0.6027723300000001
2015/11,ATL,21500086,1,0.7545454545454546,0.5882352941176471,3.9437068594396067,8.76652905714222,8.259329571966932,0.5645501645173294,12.541543543061627,0.8025363229636705,-0.8220116406363637,0.5523672781818182,-0.5615229825454546,0.5563083512727274
2015/11,ATL,21500101,0,0.8,0.5882352941176471,4.55480756007547,9.592191489084144,8.541837566090171,0.5462889943505331,13.479074137747576,0.8691025892009894,-0.6342024981,1.0103256063,-0.40414787190000007,1.0036597692
2015/11,ATL,21500117,1,0.7818181818181817,0.5882352941176471,4.1407341455231546,8.947630085575371,8.449757365588919,0.7555621773079266,12.954798309287536,0.8691025892009894,-0.7557516290909091,0.9492347777272727,-0.49933568154545455,0.9447590313636364
2015/11,ATL,21500129,0,0.7818181818181817,0.5882352941176471,4.1407341455231546,8.947630085575371,8.449757365588919,0.7555621773079266,12.954798309287536,0.8691025892009894,-0.7557516290909091,0.9492347777272727,-0.49933568154545455,0.9447590313636364
2015/11,ATL,21500148,0,0.7428571428571429,0.5882352941176471,4.654197401679206,6.542775382945853,6.31223687956077,1.782687661195569,9.492257613761707,0.6359506672766932,-0.5745484428571428,1.4782172667142857,-0.35993830585714287,1.7760881021428572
2015/11,ATL,21500159,0,0.8125,0.5882352941176471,4.582841765257244,7.821366889706913,6.8645310991652835,1.1044537243573684,11.071787988093137,0.7122125683529323,-0.83692717825,1.14795645275,-0.5854538225000001,1.098031986375
2015/11,ATL,21500169,1,0.7,0.5882352941176471,4.129344532258067,6.014787593960526,5.894635527041542,1.4918230406952213,8.94535137331453,0.6357927712166411,-1.150301844,0.977127283125,-0.943174259625,1.0739486365
2015/11,ATL,21500191,0,0.8300000000000001,0.5882352941176471,4.377287360596203,8.419642296590046,8.005389095776456,0.8662013162060752,12.313742623799186,0.824333164318882,-0.8311706777,0.5602539869000001,-0.5312233074000001,0.4619546799
2015/11,ATL,21500210,1,0.77,0.5882352941176471,4.377287360596203,9.064203700098817,8.09746929627771,0.6569281332486816,12.838018452259226,0.824333164318882,-0.8183453681999999,0.3003049872,-0.6211946877000001,0.22499316590000004
2015/11,ATL,21500222,0,0.8375,0.5882352941176471,4.659092941743318,7.21640889663446,7.097058776306897,1.3957086287913356,10.597822359304313,0.6994492453455352,-0.5452275948749999,0.523952022125,-0.316930669,0.557304399625
2015/11,ATL,21500233,1,0.8333333333333334,0.5882352941176471,4.5687221253445225,7.576171417010143,7.777997670785407,0.5124675770963962,11.28037203094801,0.7571178346887618,-0.39651968344444444,0.5164562676666666,-0.07813213711111111,0.4946333366666667
2015/11,ATL,21500242,0,0.74,0.5882352941176471,3.665469199121086,8.046991323920276,7.465355350699478,0.1996378838155751,11.414180066910934,0.6992899446409778,-0.8955361353000001,0.5935121592,-0.5620524447,0.5341084969000001
2015/11,ATL,21500256,1,0.0,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,-0.4684662639,0.6689846186999999,-0.182509258,0.680009626
2015/11,BKN,21500047,0,0.8636363636363636,0.2857142857142857,4.327999921230286,8.671338856908791,7.220033399436958,-8.804022729122654,12.015258102596096,0.8873078381015631,-1.1718619773636363,-0.889573356,-0.9312474720909091,-1.4451549316363634
2015/11,BKN,21500062,0,0.8333333333333334,0.2857142857142857,4.141445789556516,9.407025596748602,7.238425567932953,-8.804022729122654,12.25921795624981,0.9068739747994304,-1.1186452665833333,-0.8204894424166667,-0.9305411736666667,-1.50079532025
2015/11,BKN,21500077,0,0.95,0.2857142857142857,4.7064867404425,8.698322471475947,7.211837193039834,-8.641163043569405,11.981616400884263,0.8785705401565768,-1.2086421764000002,-0.6520115381,-0.9494566927999999,-1.2252414596999999
2015/11,BKN,21500089,0,0.9090909090909091,0.2857142857142857,4.468565249597279,9.434009211315757,7.230229361535829,-8.641163043569405,12.225576254537977,0.8981366768544441,-1.1472439283636364,-0.5982437976363637,-0.9470308017272727,-1.3059321992727273
2015/11,BKN,21500119,1,0.95,0.2857142857142857,4.7064867404425,8.698322471475947,7.211837193039834,-8.641163043569405,11.981616400884263,0.8785705401565768,-1.2086421764000002,-0.6520115381,-0.9494566927999999,-1.2252414596999999
2015/11,BKN,21500137,0,0.96875,0.2857142857142857,5.043025278162122,8.163695741106759,6.511859610529652,-5.455150083189402,10.870408577855912,0.7435047905138082,-1.281292610375,-0.50937988225,-0.933492391625,-1.00407152325
